name in rule,name to show
drinkTakeOverName0,可乐(听)
drinkTakeOverName1,老虎(听)
drinkTakeOverName2,喜力(听)
drinkTakeOverName3,矿泉水(瓶)
drinkTakeOverName4,红酒(瓶)
drinkTakeOverName5,白酒(瓶)
drinkTakeOverName6,零卡可乐(听)
drinkTakeOverName7,饮料7
drinkTakeOverName8,饮料8
drinkTakeOverName9,饮料9
drinkTakeOverName10,饮料10
drinkTakeOverName11,饮料11
boxTakeOverName0,RC 750(条)
boxTakeOverName1,RC 1000(条)
boxTakeOverName2,PaLB3A纸盒(条)
boxTakeOverName3,M950纸盒(条)
boxTakeOverName4,MS 20(条)
boxTakeOverName5,MS 250(条)
boxTakeOverName6,玉米鱼半只盒(条)
boxTakeOverName7,泡沫塑料杯(条)
boxTakeOverName8,薏米水瓶(条)
boxTakeOverName9,MS 1800A(条)
boxTakeOverName10,MS 1200A(条)
boxTakeOverName11,MS SW8(条)
boxTakeOverName12,MS 1600(条)
boxTakeOverName13,3格便当盒(条)
boxTakeOverName14,4格便当盒(条)
boxTakeOverName15,MS 2500(条)
boxTakeOverName16,MS 3000(条)
boxTakeOverName17,玻璃罐(个)
boxTakeOverName18,湿巾(个)
boxTakeOverName19,SW 500(条)
boxTakeOverName20,MS 12B(条)
boxTakeOverName21,鱼生盒特小(个)
boxTakeOverName22,鱼生盒小(个)
boxTakeOverName23,鱼生盒中(个)
boxTakeOverName24,鱼生盒大(个)
boxTakeOverName25,box25
boxTakeOverName26,box26
boxTakeOverName27,box27
boxTakeOverName28,box28
boxTakeOverName29,box29
boxTakeOverName30,box30
boxTakeOverName31,box31
boxTakeOverName32,box32
boxTakeOverName33,box33
boxTakeOverName34,box34
boxTakeOverName35,box35
boxTakeOverName36,box36
boxTakeOverName37,box37
boxTakeOverName38,box38
boxTakeOverName39,box39
