Chinese food name,String Locator,Model to Use,Multiplier,active status
外婆酸甜肉,Ahposweet&sourpork,boxTakeOverName0,1.0,1
包公排骨,Baogongporkribs,boxTakeOverName0,1.0,1
凉瓜鸡翅煲,Claypotchickenwithbittergourd,boxTakeOverName0,1.0,1
家乡焖年糕小,Hometownbraisedricecake(small),boxTakeOverName0,1.0,1
南平炒面小,Nanpingfriednoodles(small),boxTakeOverName0,1.0,1
三人行炒饭小,Sanrenxingfriedrice(small),boxTakeOverName0,1.0,1
手工薄饼,Handmadepopiahwithshreddedleanmeat(10pcs),boxTakeOverName0,1.0,1
手工薄饼,Handmadepopiahwithshreddedleanmeat(10pcs)-platform,boxTakeOverName0,1.0,1
尖椒牛柳,Stir-friedbeefwithcapsicum,boxTakeOverName0,1.0,1
宫保鸡丁,Stir-friedgongbaodicedchicken,boxTakeOverName0,1.0,1
油炸松菇鳕鱼,Deepfriedcodwithmushroom,boxTakeOverName0,1.0,1
铁板叁巴苏东,Hotplatesambalsotong,boxTakeOverName0,1.0,1
清蒸松菇鳕鱼,Steamedcodwithmushroom,boxTakeOverName0,1.0,1
上汤苋菜,Spinachinsupremestock,boxTakeOverName0,1.0,1
上汤苋菜,Spinachinsupremestock-platform,boxTakeOverName0,1.0,1
家乡小炒皇,Stir-friedasparaguswithbacon,boxTakeOverName0,1.0,1
冬菇焖绿笋,Stir-friedbambooshootswithmushroom,boxTakeOverName0,1.0,1
西施豆腐,Stir-friedbeancurd,boxTakeOverName0,1.0,1
西施豆腐,Stir-friedbeancurd-platform,boxTakeOverName0,1.0,1
蒜蓉西兰花,Stir-friedbroccoliwithgarlic,boxTakeOverName0,1.0,1
肉碎炒日本毛豆,Stir-friededamamewithdicedpork,boxTakeOverName0,1.0,1
干煸四季豆,Stir-friedfrenchbean,boxTakeOverName0,1.0,1
芥兰腐皮,Stir-friedkailanwithbeancurdskin,boxTakeOverName0,1.0,1
干锅茶树菇,Stir-friedpoplarmushroom,boxTakeOverName0,1.0,1
蒜蓉时蔬,Stir-friedvegetablewithgarlic,boxTakeOverName0,1.0,1
珍菌爆三翠,Stir-friedvegetableswithblackfungus,boxTakeOverName0,1.0,1
毛氏红烧肉,Redbraisedporkbelly,boxTakeOverName0,1.0,1
毛氏红烧肉,Redbraisedporkbelly-platform,boxTakeOverName0,1.0,1
煎酿苦瓜,Panfriedbittergourdwithmeat,boxTakeOverName0,1.0,1
手工薄饼,Lazadahandmadepopiahwithshreddedleanmeat(10pcs),boxTakeOverName0,1.0,1
红焖鳕鱼小,Redbraisedcodfish(small),boxTakeOverName11,1.0,1
红焖顺壳鱼小,Redbraisedsoonhockfish(small),boxTakeOverName11,1.0,1
流沙包3粒,Goldencustardbuns(3pcs),boxTakeOverName0,1.0,1
蘑菇包,Steamedtrufflemushroombuns(3pcs),boxTakeOverName0,1.0,1
北方水饺,Steamedchives&porkdumplings(10pcs),boxTakeOverName0,1.0,1
手工黄糖糍粑,Handmadesweetglutinousricecake,boxTakeOverName0,1.0,1
雪花丸子,Steamedglutinousriceballswithshrimpandmeat(6pcs),boxTakeOverName0,1.0,1
原味小笼包,Steamedporkdumplings,boxTakeOverName0,1.0,1
剁椒云吞,Steamedwantonwithchilli(8pcs),boxTakeOverName0,1.0,1
紫薯玫瑰包,Purplesweetpotatorosebun,boxTakeOverName0,1.0,1
紫薯玫瑰包,Purplesweetpotatorosebun(5pcs),boxTakeOverName0,1.0,1
紫薯玫瑰包,Freepurplesweetpotatorosebun(5pcs),boxTakeOverName0,1.0,1
鱼香茄子煲,Claypoteggplantwithspicygarlicsauce,boxTakeOverName0,1.0,1
东坡肉,Dongpobraisedporkbellywithminimantou4pcs,boxTakeOverName0,2.0,1
蒜蓉瓜尖,Stirfriedpumpkinleaveswithgarlic,boxTakeOverName0,1.0,1
啤酒鸭,Beerbraisedduck,boxTakeOverName0,1.0,1
蒸馒头,Steamedmantou(2pcs),boxTakeOverName0,0.5,1
叁巴炒啦啦,Stir-friedsambalclams,boxTakeOverName0,1.0,1
家乡焖年糕中,Hometownbraisedricecake(medium),boxTakeOverName1,1.0,1
南平炒面中,Nanpingfriednoodles(medium),boxTakeOverName1,1.0,1
三人行炒饭中,Sanrenxingfriedrice(medium),boxTakeOverName1,1.0,1
高原排骨,Porkribsinsavourysweetsauce(4pcs),boxTakeOverName1,1.0,1
干锅高丽菜,Stir-friedcabbagewithporkstrips,boxTakeOverName1,1.0,1
干锅高丽菜,Stir-friedcabbagewithporkstrips-platform,boxTakeOverName1,1.0,1
麻婆豆腐,Stir-friedbeancurdinhotsauce,boxTakeOverName1,1.0,1
